code,name,year,rank,index_over,band_over,index_dist,band_dist,index_poli,band_poli,index_homi,band_homi,index_jail,band_jail,index_wmid,band_wmid,index_inco,band_inco,index_demo,band_demo,index_crim,band_crim,index_inst,band_inst,index_rehr,band_rehr,index_weim,band_weim,index_gtdx,band_gtdx,index_icon,band_icon,index_ndic,band_ndic,index_mexp,band_mexp,index_army,band_army,index_unfu,band_unfu,index_hewe,band_hewe,index_weex,band_weex,index_refu,band_refu,index_rela,band_rela,index_econ,band_econ,index_ndec,band_ndec,index_militarisation,band_militarisation,index_safety_security,band_safety_security,index_domestic_international_conflict,band_domestic_international_conflict
HUN,Hungary,2008,11,1.389447188,1,2.767,3,1.433,1,1.815,2,2.163,4,1,1,2,2,1,1,1.5,1,1.25,1,2,2,1.733,5,1,1,1,1,1,1,1.621,3,1.489,3,1,1,1.110973611,3,1.245,4,1.011,3,1,1,1.125,4,1,1,1.279642402,1,1.599794118,1,1.212761675,2
IDN,Indonesia,2008,38,1.683305158,2,1.348,1,1.805,2,1.32,1,1.403,1,2,1,2,2,1.75,4,4,5,2,2,3,3,1.066,3,2.616,5,1.632,5,1,1,1.268,1,1.194,2,1.315925512,1,1.476559619,4,1.005,4,1.003,3,2,2,1,1,1,1,1.360737052,1,2.042411765,2,1.467710145,3
IND,India,2008,141,2.363147479,4,2.213,2,1.5,1,2.482,3,1.253,1,4,3,3,4,1,1,3,3,1.625,2,3.5,4,1.119,3,4.0132,5,4.579,5,3.267,5,2.046,4,1.183,2,2.127565649,3,5,5,1.003,4,1.001,1,3,4,1,1,1,1,2.527066547,5,2.128129412,2,2.630323671,5
IRL,Ireland,2008,10,1.380426239,1,2.249,2,2.481,3,1.63,1,1.593,2,2,1,2,2,1,1,2,1,1,1,1,1,1.234,4,1.188,3,1,1,1,1,1.225,1,1.37,3,1.205537535,1,1.024966313,2,1.78,5,1,1,1,1,1.125,4,1,1,1.440233765,1,1.496029412,1,1.212761675,2
IRN,Iran,2008,145,2.430795864,4,3.26,4,3.25,4,2.26,3,2.638,4,3,2,3,4,2.5,5,2,1,3.75,5,4,5,1.237,4,2.8,5,1.105,4,2.026,5,2.061,4,2.186,5,3.999224928,5,2.225768971,5,1.034,4,1.031,4,4,5,1,1,1,1,2.220338633,4,2.726705882,5,2.223784219,5
IRQ,Iraq,2008,161,3.372266419,5,3.421,4,5,5,3.12,4,1.451,1,5,5,5,5,3,5,5,5,4.75,5,5,5,1.426,4,4.806,5,2.789,5,3.438,5,2.854,5,2.918,5,3.259056254,4,1.128406036,3,1,1,5,5,4,5,1,1,1,1,2.488195919,5,4.109058824,5,3.084132045,5
ISL,Iceland,2008,1,1.133486967,1,1.849,1,2.354,2,1.51,1,1.309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.115,1,1,1,1.188722651,1,1,1,1,1,1.001,1,1,1,1.125,4,1,1,1.035732077,1,1.281764706,1,1.01147343,1
ISR,Israel,2008,155,2.820915373,4,1.975,1,2.696,4,2.148,2,3.389,5,3,2,3,4,1,1,2,1,2.625,3,4,5,5,5,3.0848,5,1.947,5,2.048,5,4.044,5,5,5,1.374008505,2,5,5,5,5,1.007,3,4,5,1,1,2.042,5,4.108001001,5,2.366752941,3,2.524731079,5
ITA,Italy,2008,25,1.588173383,2,2.359,2,3.823,5,1.525,1,1.522,2,3,2,1,1,1,1,3,3,1,1,1,1,1.478,4,1.6852,4,1,1,1,1,1.688,3,1.493,3,1.221584189,1,2.376281742,5,2.268,5,1,1,1,1,1.8,5,1,1,2.04082433,4,1.752423529,1,1.073429952,1
JAM,Jamaica,2008,83,1.974490531,3,3.31,4,3.194,4,5,5,2.377,4,4,3,2,2,1,1,5,5,1.875,2,3,3,1.17,3,1,1,1,1,1,1,1.334,1,1.166,1,1.267285651,1,1.000219968,1,1,1,1.009,3,1,1,1,1,1,1,1.639719483,1,2.799382353,5,1.201288245,1
JOR,Jordan,2008,59,1.816935385,2,1.345,1,1.542,1,1.435,1,1.846,3,2,1,1,1,2.75,5,2,1,3.375,4,3,3,2.74,5,2.3004,4,1.053,3,1,1,3.633,5,3.661,5,1.405231251,2,1.61711886,4,1.363,5,1.009,3,2,2,1.05,4,1,1,2.224636417,4,2.068405882,2,1.211339775,2
JPN,Japan,2008,12,1.391296324,1,2.733,3,1.978,2,1.25,1,1.506,2,1,1,1,1,1,1,1,1,1,1,1,1,1.241,4,1.0152,2,1,1,1,1,1.43,2,1.298,2,1.997868114,3,2.371662424,5,1.009,4,1,1,3,4,1.05,4,1,1,1.475042559,1,1.314158824,1,1.407165862,3
KAZ,Kazakhstan,2008,110,2.106973307,3,3.27,4,3.204,4,4.371,5,3.682,5,4,3,2,2,1.75,4,2,1,2.75,3,2.5,2,1.189,4,1,1,1,1,1,1,1.473,2,1.572,3,1.980068492,3,1.696197181,5,1.019,4,1.011,3,3,4,1.375,5,1,1,1.916101678,3,2.595470588,4,1.638285024,4
